79484
Matches	Search_type	jot_city	geo_name_city	lat	lon	dist_from_first	geonameid
(19)	EQ:	stein	stein	50.064800	11.701110	87.459037km	2828934
(19)	EQ:	stein	stein	49.728690	11.537040	51.295962km	2828936
(19)	EQ:	stein	stein	49.512620	12.225740	88.351539km	2828937
(19)	EQ:	stein	stein	49.402830	12.586440	113.975133km	2828938
(19)	EQ:	stein	stein	49.150000	7.933330	226.206916km	2828939
(19)	EQ:	stein	stein	49.090340	12.902580	142.029853km	2828940
(19)	EQ:	stein	stein	49.056320	12.828430	137.909738km	2828941
(19)	EQ:	stein	stein	48.966670	8.650000	179.539099km	2828942
(19)	EQ:	stein	stein	48.395530	12.509740	157.682099km	2828943
(19)	EQ:	stein	stein	48.371990	8.941880	191.314004km	2828944
(19)	EQ:	stein	stein	48.240640	8.114700	249.887653km	2828945
(19)	EQ:	stein	stein	47.726970	12.297050	210.246661km	2828946
(19)	EQ:	stein	stein	47.718990	10.396790	194.141854km	2828947
(1)	EQ:	buttelborn	buttelborn	49.903330	8.523330	0.000000km	2940633
(1)	EQ:	limburgerhof	limburgerhof	49.424440	8.391940	0.000000km	2877647
(1)	EQ:	kollnburg	kollnburg	49.046640	12.861210	0.000000km	2886285
(2)	EQ:	seligenstadt	seligenstadt	50.043200	8.973940	0.000000km	2833242
(2)	EQ:	seligenstadt	seligenstadt	49.854060	10.101990	83.650231km	2833243
(1)	EQ:	toging am inn	toging am inn	48.260180	12.584600	0.000000km	2821963
(1)	EQ:	worpswede	worpswede	53.216670	8.933330	0.000000km	2806108
(1)	EQ:	empfingen	empfingen	48.392580	8.710360	0.000000km	2930461
(0)	No match: bad soden-salmunster
(2)	EQ:	dornburg	dornburg	52.033990	11.880250	0.000000km	2935740
(2)	EQ:	dornburg	dornburg	51.007360	11.663300	115.209204km	2935741
(1)	EQ:	vlotho	vlotho	52.165300	8.859960	0.000000km	2817105
(1)	EQ:	kunzell	kunzell	50.544200	9.717920	0.000000km	2882440
(5)	EQ:	westhausen	westhausen	51.393350	10.189500	0.000000km	2810132
(5)	EQ:	westhausen	westhausen	51.152500	7.149240	213.834149km	2810133
(5)	EQ:	westhausen	westhausen	51.016670	10.683330	54.288606km	2810134
(5)	EQ:	westhausen	westhausen	50.315680	10.662360	124.423326km	2810135
(5)	EQ:	westhausen	westhausen	48.883330	10.183330	279.194136km	2810136
(42)	EQ:	reichenbach	reichenbach	48.018920	9.613870	0.000000km	2849114
(42)	EQ:	reichenbach	reichenbach	48.176560	8.094400	114.523972km	2849140
(42)	EQ:	reichenbach	reichenbach	48.084720	8.295470	98.558210km	2849141
(42)	EQ:	reichenbach	reichenbach	47.929190	8.225840	104.111861km	2849142
(42)	EQ:	reichenbach	reichenbach	51.963210	14.679230	569.286184km	2849143
(42)	EQ:	reichenbach	reichenbach	51.245180	13.979370	477.550288km	2849144
(42)	EQ:	reichenbach	reichenbach	51.141440	14.802700	511.062489km	2849145
(42)	EQ:	reichenbach	reichenbach	51.162320	9.776700	349.810389km	2849146
(42)	EQ:	reichenbach	reichenbach	51.122970	13.497320	444.941931km	2849147
(42)	EQ:	reichenbach	reichenbach	51.047110	13.090500	420.332942km	2849148
(42)	EQ:	reichenbach	reichenbach	51.044910	10.537150	343.115029km	2849149
(42)	EQ:	reichenbach	reichenbach	50.986960	13.239350	421.705750km	2849150
(42)	EQ:	reichenbach	reichenbach	50.946440	12.084300	371.510027km	2849151
(42)	EQ:	reichenbach	reichenbach	50.868610	11.878010	356.901759km	2849152
(42)	EQ:	reichenbach	reichenbach	50.836190	12.658140	383.263247km	2849153
(42)	EQ:	reichenbach	reichenbach	50.753870	10.466200	310.398463km	2849154
(42)	EQ:	reichenbach	reichenbach	50.684710	11.436430	324.681348km	2849155
(42)	EQ:	reichenbach	reichenbach	50.566230	11.376060	310.927695km	2849157
(42)	EQ:	reichenbach	reichenbach	50.424270	11.413030	297.867037km	2849158
(42)	EQ:	reichenbach	reichenbach	50.262910	10.154230	252.652972km	2849159
(42)	EQ:	reichenbach	reichenbach	50.273410	8.375340	266.502860km	2849160
(42)	EQ:	reichenbach	reichenbach	50.243000	11.499680	283.032726km	2849161
(42)	EQ:	reichenbach	reichenbach	50.209280	12.123260	304.755026km	2849162
(42)	EQ:	reichenbach	reichenbach	50.042800	9.135800	227.773786km	2849163
(42)	EQ:	reichenbach	reichenbach	49.983310	11.947920	277.262901km	2849164
(42)	EQ:	reichenbach	reichenbach	49.709990	11.624930	239.015960km	2849165
(42)	EQ:	reichenbach	reichenbach	49.711010	8.692910	199.932275km	2849166
(42)	EQ:	reichenbach	reichenbach	49.640730	7.286640	248.418629km	2849167
(42)	EQ:	reichenbach	reichenbach	49.500000	7.533330	224.763901km	2849168
(42)	EQ:	reichenbach	reichenbach	49.276000	10.153640	145.338074km	2849169
(42)	EQ:	reichenbach	reichenbach	49.183330	12.350000	239.747579km	2849170
(42)	EQ:	reichenbach	reichenbach	49.174830	10.262620	137.156161km	2849171
(42)	EQ:	reichenbach	reichenbach	49.034720	10.544170	132.213415km	2849172
(42)	EQ:	reichenbach	reichenbach	48.923800	8.476640	131.130284km	2849173
(42)	EQ:	reichenbach	reichenbach	48.874820	10.189520	104.267454km	2849174
(42)	EQ:	reichenbach	reichenbach	48.855460	9.992080	97.140204km	2849175
(42)	EQ:	reichenbach	reichenbach	48.733170	13.170630	275.169216km	2849176
(42)	EQ:	reichenbach	reichenbach	48.427270	8.016190	127.096803km	2849177
(42)	EQ:	reichenbach	reichenbach	48.329010	7.927260	130.089538km	2849178
