79484
Matches	Search_type	jot_city	geo_name_city	lat	lon	dist_from_first	geonameid
(18)<2>	EQ:	sulzbach	A	sulzbach	49.833300	7.333330	158.355817km	6553647
(18)<2>	EQ:	sulzbach	A	sulzbach	50.302390	7.751540	200.946834km	6554104
(1)<0>	EQ:	steinwiesen	P	steinwiesen	50.294440	11.462950	0.000000km	2827610
(1)<0>	EQ:	wolfertschwenden	P	wolfertschwenden	47.893500	10.267150	0.000000km	2806831
(1)<0>	EQ:	aschheim	P	aschheim	48.171120	11.716750	0.000000km	2955159
(3)<2>	EQ:	blomberg	P	blomberg	51.943310	9.090670	0.000000km	2947641
(3)<2>	EQ:	blomberg	P	blomberg	51.110650	7.718660	132.843128km	2947642
(3)<2>	EQ:	blomberg	P	blomberg	53.576780	7.558240	209.140668km	2947646
(3)<2>	EQ:	blomberg	A	blomberg	53.572700	7.558180	208.750569km	6553006
(3)<2>	EQ:	blomberg	A	blomberg	51.967850	9.047300	4.042887km	6557636
(7)<1>	EQ:	rottenbach	A	rottenbach	50.683300	11.166700	0.502823km	6550333
(1)<0>	EQ:	kusterdingen	P	kusterdingen	48.522910	9.119770	0.000000km	2882237
(0)<0>	No match: bad duben
(1)<0>	EQ:	langenselbold	P	langenselbold	50.176570	9.040030	0.000000km	2880913
(1)<0>	EQ:	grafenwohr	P	grafenwohr	49.717280	11.906450	0.000000km	2918258
(2)<1>	EQ:	monsheim	A	monsheim	49.635900	8.211000	0.161755km	6554865
(1)<0>	EQ:	eitorf	P	eitorf	50.766670	7.450000	0.000000km	2931361
(1)<0>	EQ:	bad marienberg	P	bad marienberg	50.649470	7.949580	0.000000km	2953404
(1)<0>	EQ:	zell im wiesental	P	zell im wiesental	47.705550	7.852480	0.000000km	2804810
(1)<0>	EQ:	weil im schonbuch	P	weil im schonbuch	48.622700	9.063550	0.000000km	2812502
(2)<2>	EQ:	grafenau	P	grafenau	48.857680	13.397400	0.000000km	2918365
(2)<2>	EQ:	grafenau	P	grafenau	48.714270	8.912190	329.932356km	11670103
(2)<2>	EQ:	grafenau	A	grafenau	48.713870	8.910810	330.037062km	3209428
(2)<2>	EQ:	grafenau	A	grafenau	48.853750	13.399250	0.457643km	6558240
(1)<0>	EQ:	lommatzsch	P	lommatzsch	51.195370	13.309170	0.000000km	2876009
(6)<1>	EQ:	erlau	A	erlau	51.016700	12.933300	1.181091km	6548563
(2)<1>	EQ:	kirn	A	kirn	49.786000	7.459400	0.369195km	6557857
(1)<0>	EQ:	heustreu	P	heustreu	50.354850	10.260690	0.000000km	2904986
(1)<0>	EQ:	kraichtal	P	kraichtal	49.146230	8.732760	0.000000km	11670105
(19)<2>	EQ:	stein	P	stein	49.415810	11.015990	0.000000km	2828685
(19)<2>	EQ:	stein	P	stein	54.416670	10.266670	558.798293km	2828929
(19)<2>	EQ:	stein	P	stein	50.953920	12.818410	214.094188km	2828930
(19)<2>	EQ:	stein	P	stein	50.866670	7.333330	308.730386km	2828931
(19)<2>	EQ:	stein	P	stein	50.733700	7.465280	293.371163km	2828932
(19)<2>	EQ:	stein	P	stein	50.650310	12.661720	180.981932km	2828933
(19)<2>	EQ:	stein	P	stein	50.064800	11.701110	87.459037km	2828934
(19)<2>	EQ:	stein	P	stein	49.728690	11.537040	51.295962km	2828936
(19)<2>	EQ:	stein	P	stein	49.512620	12.225740	88.351539km	2828937
(19)<2>	EQ:	stein	P	stein	49.402830	12.586440	113.975133km	2828938
(19)<2>	EQ:	stein	P	stein	49.150000	7.933330	226.206916km	2828939
(19)<2>	EQ:	stein	P	stein	49.090340	12.902580	142.029853km	2828940
(19)<2>	EQ:	stein	P	stein	49.056320	12.828430	137.909738km	2828941
(19)<2>	EQ:	stein	P	stein	48.966670	8.650000	179.539099km	2828942
(19)<2>	EQ:	stein	P	stein	48.395530	12.509740	157.682099km	2828943
(19)<2>	EQ:	stein	P	stein	48.371990	8.941880	191.314004km	2828944
(19)<2>	EQ:	stein	P	stein	48.240640	8.114700	249.887653km	2828945
(19)<2>	EQ:	stein	P	stein	47.726970	12.297050	210.246661km	2828946
(19)<2>	EQ:	stein	P	stein	47.718990	10.396790	194.141854km	2828947
(19)<2>	EQ:	stein	A	stein	54.416700	10.266700	558.801427km	6551778
(19)<2>	EQ:	stein	A	stein	49.406000	10.999100	1.640931km	6558353
(1)<0>	EQ:	buttelborn	P	buttelborn	49.903330	8.523330	0.000000km	2940633
(1)<0>	EQ:	limburgerhof	P	limburgerhof	49.424440	8.391940	0.000000km	2877647
(1)<0>	EQ:	kollnburg	P	kollnburg	49.046640	12.861210	0.000000km	2886285
(2)<1>	EQ:	seligenstadt	A	seligenstadt	50.044240	8.972570	0.151697km	6557758
(1)<0>	EQ:	toging am inn	P	toging am inn	48.260180	12.584600	0.000000km	2821963
(1)<0>	EQ:	worpswede	P	worpswede	53.216670	8.933330	0.000000km	2806108
(1)<0>	EQ:	empfingen	P	empfingen	48.392580	8.710360	0.000000km	2930461
(0)<0>	No match: bad soden-salmunster
(2)<1>	EQ:	dornburg	A	dornburg	50.516670	8.016670	318.028950km	3208036
(1)<0>	EQ:	vlotho	P	vlotho	52.165300	8.859960	0.000000km	2817105
(1)<0>	EQ:	kunzell	P	kunzell	50.544200	9.717920	0.000000km	2882440
(5)<3>	EQ:	westhausen	P	westhausen	51.393350	10.189500	0.000000km	2810132
(5)<3>	EQ:	westhausen	P	westhausen	51.152500	7.149240	213.834149km	2810133
(5)<3>	EQ:	westhausen	P	westhausen	51.016670	10.683330	54.288606km	2810134
(5)<3>	EQ:	westhausen	P	westhausen	50.315680	10.662360	124.423326km	2810135
(5)<3>	EQ:	westhausen	P	westhausen	48.883330	10.183330	279.194136km	2810136
(5)<3>	EQ:	westhausen	A	westhausen	51.016700	10.683300	54.284690km	6550111
(5)<3>	EQ:	westhausen	A	westhausen	50.316700	10.666700	124.396101km	6550188
(5)<3>	EQ:	westhausen	A	westhausen	48.883300	10.183300	279.197476km	6555603
(42)<4>	EQ:	reichenbach	P	reichenbach	48.018920	9.613870	0.000000km	2849114
(42)<4>	EQ:	reichenbach	P	reichenbach	48.176560	8.094400	114.523972km	2849140
